chapNum|verseNum|text|keywords
1|1|The proverbs of Solomon, son of David, king of Israel:|Proverbs, Solomon, David, King, Israel
1|2|To know wisdom and instruction, to understand words of insight,|Wisdom, Instructions, Understand, Words, Insight
1|3|to receive instruction in wise dealing, in righteousness, justice, and equity;|Receive, Instruction, Dealing, Wise, Righteousness, Justice, Equity
1|4|to give prudence to the simple, knowledge and discretion to the youth—|Prudence, Simple, Knowledge, Discretion, Youth
1|5|Let the wise hear and increase in learning, and the one who understands obtain guidance,|Wise, Learning, Understand, Guidance
1|6|to understand a proverb and a saying, the words of the wise and their riddles.|Understand, Proverbs, Words, Wise, Riddles
1|7|The fear of the LORD is the beginning of knowledge; fools despise wisdom and instruction.|Fear, Beginning, Knowledge, Fools, Despise, Wisdom, Instruction
1|8|Hear, my son, your father’s instruction, and forsake not your mother’s teaching,|hear, Son, Father, Instruction, Forsake, Mother, Teaching
1|9|for they are a graceful garland for your head and pendants for your neck.|Graceful garland, Head, Pendants, Neck
1|10|My son, if sinners entice you, do not consent.|Son, Sinners, Entice, Consent
1|11|If they say, “Come with us, let us lie in wait for blood; let us ambush the innocent without reason;|Come, Lie, Wait, Blood, Ambush, Innocent, Reason
1|12|like Sheol let us swallow them alive, and whole, like those who go down to the pit;|Sheol, Swallow, Alive, Whole, Down, Pit
1|13|we shall find all precious goods, we shall fill our houses with plunder;|Find, Precious, Fill, Houses, Plunder
1|14|throw in your lot among us; we will all have one purse”—|Throw, Lot, Purse
1|15|my son, do not walk in the way with them; hold back your foot from their paths,|Son, Walk, Way, Hold, Foot, Paths
1|16|for their feet run to evil, and they make haste to shed blood.|Feet, Run, Evil, Haste, Shed, Blood
1|17|For in vain is a net spread in the sight of any bird,|Vain, Net, Spread, Sight, Bird
1|18|but these men lie in wait for their own blood; they set an ambush for their own lives.|Lie, Wait, Blood, Ambush, Lives
1|19|Such are the ways of everyone who is greedy for unjust gain; it takes away the life of its possessors.|Ways, Greedy, Unjust, Gain, Away, Life, Possessors
1|20|Wisdom cries aloud in the street, in the markets she raises her voice;|Wisdom, Cries, Street, Markets, Voice
1|21|at the head of the noisy streets she cries out; at the entrance of the city gates she speaks:|Head, Noisy, Cries, Entrance, City gate, Speaks 
1|22|“How long, O simple ones, will you love being simple? How long will scoffers delight in their scoffing and fools hate knowledge?|Simple, Love, Scoffers, Delight, Fools, Knowledge
1|23|If you turn at my reproof, behold, I will pour out my spirit to you; I will make my words known to you.|Turn, Reproof, Behold, Pour, Spirit, Words, Known
1|24|Because I have called and you refused to listen, have stretched out my hand and no one has heeded,|Refused, Listen, Stretched, Hand, Heeded
1|25|because you have ignored all my counsel and would have none of my reproof,|Ignored, Counsel, Reproof
1|26|I also will laugh at your calamity; I will mock when terror strikes you,|Laugh, Calamity, Mock, Terror, Strikes
1|27|when terror strikes you like a storm and your calamity comes like a whirlwind, when distress and anguish come upon you.|Terror, Strikes, Storm, Calamity, Whirlwind, Distress, Anguish
1|28|Then they will call upon me, but I will not answer; they will seek me diligently but will not find me.|Call, Answer, Seek, Diligently, Find
1|29|Because they hated knowledge and did not choose the fear of the LORD,|Hated, Knowledge, Choose, Fear
1|30|would have none of my counsel and despised all my reproof,|Counsel, Despised, Reproof
